あ,a,,,
い,i,yi,,
う,u,wu,whu,
え,e,,,
お,o,,,
うぁ,wha,,,
うぃ,whi,wi,,
うぇ,whe,we,,
うぉ,who,,,
ゐ,wi,,,
ゑ,we,,,
ぁ,la,xa,,
ぃ,li,xi,lyi,xyi
ぅ,lu,xu,,
ぇ,le,xe,lye,xye
ぉ,lo,xo,,
ぃぇ,ye,,,
か,ka,ca,,
き,ki,,,
く,ku,cu,qu,
け,ke,,,
こ,ko,co,,
きゃ,kya,,,
きぃ,kyi,,,
きゅ,kyu,,,
きぇ,kye,,,
きょ,kyo,,,
くゃ,qya,,,
くゅ,qyu,,,
くょ,qyo,,,
くぁ,qwa,qa,kwa,
くぃ,qwi,qi,qyi,
くぅ,qwu,,,
くぇ,qwe,qe,qye,
くぉ,qwo,qo,,
が,ga,,,
ぎ,gi,,,
ぐ,gu,,,
げ,ge,,,
ご,go,,,
ぎゃ,gya,,,
ぎぃ,gyi,,,
ぎゅ,gyu,,,
ぎぇ,gye,,,
ぎょ,gyo,,,
ぐぁ,gwa,,,
ぐぃ,gwi,,,
ぐぅ,gwu,,,
ぐぇ,gwe,,,
ぐぉ,gwo,,,
ヵ,lka,xka,,
ヶ,lke,xke,,
さ,sa,,,
し,si,ci,shi,
す,su,,,
せ,se,ce,,
そ,so,,,
しゃ,sya,sha,,
しぃ,syi,,,
しゅ,syu,shu,,
しぇ,sye,she,,
しょ,syo,sho,,
すぁ,swa,,,
すぃ,swi,,,
すぅ,swu,,,
すぇ,swe,,,
すぉ,swo,,,
ざ,za,,,
じ,zi,ji,,
ず,zu,,,
ぜ,ze,,,
ぞ,zo,,,
じゃ,zya,ja,jya,
じぃ,zyi,,jyi,
じゅ,zyu,ju,jyu,
じぇ,zye,je,jye,
じょ,zyo,jo,jyo,
た,ta,,,
ち,ti,chi,,
つ,tu,tsu,,
て,te,,,
と,to,,,
ちゃ,tya,cha,cya,
ちぃ,tyi,,cyi,
ちゅ,tyu,chu,cyu,
ちぇ,tye,che,cye,
ちょ,tyo,cho,cyo,
つぁ,tsa,,,
つぃ,tsi,,,
つぇ,tse,,,
つぉ,tso,,,
てゃ,tha,,,
てぃ,thi,,,
てゅ,thu,,,
てぇ,the,,,
てょ,tho,,,
とぁ,twa,,,
とぃ,twi,,,
とぅ,twu,,,
とぇ,twe,,,
とぉ,two,,,
だ,da,,,
ぢ,di,,,
づ,du,,,
で,de,,,
ど,do,,,
ぢゃ,dya,,,
ぢぃ,dyi,,,
ぢゅ,dyu,,,
ぢぇ,dye,,,
ぢょ,dyo,,,
でゃ,dha,,,
でぃ,dhi,,,
でゅ,dhu,,,
でぇ,dhe,,,
でょ,dho,,,
どぁ,dwa,,,
どぃ,dwi,,,
どぅ,dwu,,,
どぇ,dwe,,,
どぉ,dwo,,,
っ,ltu,xtu,ltsu,
な,na,,,
に,ni,,,
ぬ,nu,,,
ね,ne,,,
の,no,,,
にゃ,nya,,,
にぃ,nyi,,,
にゅ,nyu,,,
にぇ,nye,,,
にょ,nyo,,,
は,ha,,,
ひ,hi,,,
ふ,hu,fu,,
へ,he,,,
ほ,ho,,,
ひゃ,hya,,,
ひぃ,hyi,,,
ひゅ,hyu,,,
ひぇ,hye,,,
ひょ,hyo,,,
ふぁ,fwa,fa,,
ふぃ,fwi,fi,fyi,
ふぅ,fwu,,,
ふぇ,fwe,fe,fye,
ふぉ,fwo,fo,,
ふゃ,fya,,,
ふゅ,fyu,,,
ふょ,fyo,,,
ば,ba,,,
び,bi,,,
ぶ,bu,,,
べ,be,,,
ぼ,bo,,,
びゃ,bya,,,
びぃ,byi,,,
びゅ,byu,,,
びぇ,bye,,,
びょ,byo,,,
ゔぁ,va,,,
ゔぃ,vi,,,
ゔ,vu,,,
ゔぇ,ve,,,
ゔぉ,vo,,,
ゔゃ,vya,,,
ゔぃ,vyi,,,
ゔゅ,vyu,,,
ゔぇ,vye,,,
ゔょ,vyo,,,
ぱ,pa,,,
ぴ,pi,,,
ぷ,pu,,,
ぺ,pe,,,
ぽ,po,,,
ぴゃ,pya,,,
ぴぃ,pyi,,,
ぴゅ,pyu,,,
ぴぇ,pye,,,
ぴょ,pyo,,,
ま,ma,,,
み,mi,,,
む,mu,,,
め,me,,,
も,mo,,,
みゃ,mya,,,
みぃ,myi,,,
みゅ,myu,,,
みぇ,mye,,,
みょ,myo,,,
や,ya,,,
ゆ,yu,,,
よ,yo,,,
ゃ,lya,xya,,
ゅ,lyu,xyu,,
ょ,lyo,xyo,,
ら,ra,,,
り,ri,,,
る,ru,,,
れ,re,,,
ろ,ro,,,
りゃ,rya,,,
りぃ,ryi,,,
りゅ,ryu,,,
りぇ,rye,,,
りょ,ryo,,,
わ,wa,,,
を,wo,,,
ん,nn,xn,,
ゎ,lwa,xwa,,
ー,-,,,
a,a,,,
b,b,,,
c,c,,,
d,d,,,
e,e,,,
f,f,,,
g,g,,,
h,h,,,
i,i,,,
j,j,,,
k,k,,,
l,l,,,
m,m,,,
n,n,,,
o,o,,,
p,p,,,
q,q,,,
r,r,,,
s,s,,,
t,t,,,
u,u,,,
v,v,,,
w,w,,,
x,x,,,
y,y,,,
z,z,,,
0,0,,,
1,1,,,
2,2,,,
3,3,,,
4,4,,,
5,5,,,
6,6,,,
7,7,,,
8,8,,,
9,9,,,
-,-,,,
^,^,,,
\,\\,,,
@,@,,,
[,[,,,
;,;,,,
:,:,,,
],],,,
",",",",,,
_,_,,,
/,/,,,
_,_,,,
\b,\b,,,
\r,\r,,,